ID,name,region
1623,Spud,WA
1541,Sora,NSW
1329,Rainbow,NSW
1220,Nick,SA
1069,S.D,VIC
8138,Davox,SA
1240,Kami,QLD
1093,Tristan,QLD
1267,Quetz,WA
1048,Syke,QLD
1332,MC,NSW
11750,Sock,NSW
1268,Karu,WA
1616,MojoMonkey,NZ
1049,smopup,QLD
1290,DonB,VIC
8059,Mercury,QLD
2241,Aluf,NZ
18082,Jojo,VIC
2226,Fess,VIC
2543,Currypuffs,NZ
9561,Skeleduck,VIC
1051,AussieRob,QLD
1223,Muscat,SA
16090,CowboyTrickshot,VIC
1222,Kaiza,SA
1245,Cunchy,NSW
1068,Dekar,VIC
5315,Cookbook,NZ
8510,Prolific,VIC
2624,Auro,QLD
4917,Brad,QLD
1571,Nangs,SA
5863,Scared,NSW
1180,Joe,ACT
3631,Sundowns,WA
1207,Russell,QLD
4925,Skip,VIC
3133,Microsoft J,VIC
1236,Wibbles,ACT
1193,Niko,QLD
13986,Girku,NZ
1155,Atticus,VIC
2542,Wontonz,NZ
2607,Ryzuul,VIC
1617,Toash,NZ
1285,Moxie,VIC
1083,Tranq,QLD
15211,melodiic,VIC
6946,C$,VIC
1978,RedX,VIC
2436,Mikel,WA
1331,RCJay,NSW
3752,Elka,WA
1112,Zxv,ACT
11758,Saxx,NZ
1072,Toshiba,VIC
5369,Dog,NZ
16966,Hori,NZ
8085,Jarcino,NZ
1704,KIC,WA
1047,JBirds,QLD
2404,Thriles,QLD
1113,Scabe,ACT
1771,Cailan,VIC
2126,Little Hungry,WA
5482,Zhye,VIC
17621,West,VIC
1071,Redact,VIC
15011,Caesar,VIC
1553,Scraddles,SA
1221,Flow Rats,SA
5681,SharpyNZ,NZ
4903,PauleyB,NZ
2007,Cal,NSW
15344,McCloud,SA
1102,Tedeth,NSW
2127,Ando,NSW
2437,Niven,WA
1469,Uber,QLD
2287,Ace,WA
1632,Entice,QLD
1357,Azri,VIC
1369,Tyler,VIC
1040,Splice,VIC
5774,Mylo,SA
5491,Spence,NSW
2439,Dank,WA
1998,YaMumNz,NZ
1291,Skeletom,VIC
1779,Hoppalot22,VIC
5474,Din,VIC
1550,Katherine,SA
5755,eli,NZ
13911,Hughie,VIC
2683,Mustella,QLD
5699,Haikal,QLD
1215,Vlade,WA
1536,Qx,NSW
17991,Goodie,VIC
15310,coyboy,NSW
5327,Mikkle,NSW
1850,Raphiki,VIC
2117,Crunkle,NZ
1156,CAOTIC,NSW
1287,Noxus,VIC
13976,Emps,VIC
1694,Boonsong,QLD
8114,RhuMy,NZ
2432,Paranoid,NSW
1251,Miguel,WA
15079,MULE,NZ
5091,AbysmalAngel,NZ
8141,Stormchicken,VIC
15013,George Ohwell,VIC
7996,Birdperson,VIC
15087,Jisp,NSW
2359,H1ppo,VIC
2718,Duck,VIC
5378,Coup,TAS
1129,Ace S.A.,SA
2625,Booerns,QLD
13855,Vic Machine Broke,VIC
1130,Oli,SA
1176,Seb,ACT
1762,Yoyo,TAS
1097,Mytus,ACT
1853,Saucy,VIC
5055,OB,NSW
1085,Sebby,VIC
1289,Pretty Cool Guy,VIC
4788,XP2000,QLD
3118,Rek,ACT
2688,YOUNG,WA
5802,Goon,NSW
1160,Blackshadow,SA
1803,Dz,NZ
1250,JKTS,VIC
5379,Luma,WA
1256,Chappos,WA
1189,Gareth,QLD
1542,Jnuts,NSW
1312,Samuel L. Blaxon,VIC
1628,Polaroid,WA
3650,Soup,ACT
1774,Carbon,VIC
2901,Muso,NSW
16031,Supercat Meow,VIC
1078,Sloth,QLD
1458,Edit,VIC
11778,Mungo,QLD
5476,Wings,VIC
2129,Gabe,NSW
1488,Fady,QLD
1214,Corpsecreate,VIC
18311,Postman Pat,VIC
5907,Adam,VIC
1079,Radiance,ACT
1148,Zorsy,NSW
1494,Exor,WA
1283,Hardpelicn,VIC
8087,Jej,NZ
1286,Joeyjoeyjoejoe,VIC
5899,Papermoon,NSW
13978,FunnySunTADM,VIC
19830,Mealmix,VIC
1622,SpeedyJ,NZ
3283,Unladen,NZ
1442,Torpy,VIC
1150,Scrubs,QLD
6999,Lame,QLD
1643,Frenchie,NZ
3954,Ryshy,NSW
2110,Phez,NSW
1388,Darkfire,QLD
2335,Bruh,QLD
15470,az,NSW
17992,Youla,VIC
2691,Campbell,VIC
1891,Akolyte,NZ
9448,shineboyfresh,VIC
8053,LKH,NSW
6998,Djinn,QLD
2011,IU,NSW
1330,Birdies,NSW
16776,xardov,VIC
1456,Reef,VIC
1089,Earl,VIC
1151,Accelerate,QLD
2723,Baxter,WA
1184,Gomez,ACT
15712,BOOTYMEAT,NSW
15164,Lemonpot,WA
17417,Hoja Santa,NZ
2438,DKBoy,WA
1084,Woodley,QLD
1192,JediLink,QLD
2284,Cruzybecks,WA
16896,Mook,NZ
13852,Josto,NZ
1684,Sheepgobeep,TAS
4478,Shani,VIC
1701,Bearfist,WA
3465,Chef,VIC
1165,Jimbo,QLD
2655,Kelasius,QLD
1644,k0rg,NZ
8105,Captain Multishine,NSW
1512,Haydze,VIC
5098,Plumbo,NZ
9559,Spamsung,NSW
1121,Ghost,SA
1812,smoz,NZ
2062,Yeta,NSW
1672,Dank,VIC
1560,Sam,SA
10674,Sean,ACT
8108,Tom Tam,WA
4735,Jeremy,NSW
3117,Dove,ACT
3395,Gooch,VIC
8225,Gong - Luke Mazur,NSW
1909,YoshiPkz,WA
8125,KLOB,NSW
2720,VietPham,QLD
15475,Birb,NSW
3138,DSC,VIC
1440,Macky,VIC
5777,Random,SA
1067,Allens,SA
15935,Åsh,NZ
19774,Aaron,VIC
1200,Jaffles,QLD
2746,Maca,QLD
2234,Ben Gold,VIC
5937,ruscur,ACT
1265,Fray,WA
8054,Lunchmeat,QLD
18384,Ella,VIC
3146,Savage,VIC
3600,Soup,NSW
5754,Blarghity,VIC
15417,AcidLoveboi,NZ
8414,Lach,QLD
2981,xDaniee,QLD
9510,mizu,NZ
2240,MrHealthy,NZ
3946,Brad,VIC
1750,Lemons,SA
1965,Skelorex,VIC
10660,puff Daddy,ACT
1680,Swebe,TAS
5593,Benjo,WA
13856,YungBitch,VIC
15228,Melotech,VIC
8405,Bad,QLD
13974,Sk8orDie,VIC
17226,strapped,NZ
7991,BeybWade,VIC
5326,Jojo,NSW
1566,Chicken,QLD
18963,Leon,NZ
8228,Gong - Matt Bell,NSW
4171,Hag,WA
2434,Schnitzel,NSW
13949,Lagoon,NZ
1070,Grim Tuesday,SA
19818,raechu,VIC
1941,Kristoph,NSW
2352,Edsta,SA
2195,Skite,VIC
1195,LordOxMoose,QLD
8401,spespe,NZ
1309,1ampercent,VIC
1537,Guresia,NSW
1106,Atyeo,ACT
19826,D_Lidz,VIC
3977,asc,NZ
3596,Jason,WA
8113,Taqia,VIC
15165,Trepidate,NSW
4306,Nick,ACT
1486,FMS,QLD
2134,Mikami,NSW
1646,Gbus,NZ
13975,Midori,VIC
5092,Sayora,NZ
3188,Trinick,VIC
1658,PizzaFingers,NZ
5322,Jackpot,NSW
1088,Jamwa,VIC
5753,MurMur,VIC
5800,Rushin,VIC
2087,Yam,NSW
17845,Goofy,NSW
15171,porkyy,NSW
1066,Jei,VIC
5283,DD,VIC
1611,OninO,NZ
2307,Nahwellmaybe,QLD
1606,CubT,NZ
5380,Takyon,TAS
8479,Yung$,QLD
2747,Sindocus,VIC
2622,CMPS,QLD
5416,Nope,TAS
5565,Norbet,VIC
1565,Ivan,SA
3402,Auo,VIC
1163,Claymore,QLD
3115,Cammy,ACT
15086,El Chimpe,NSW
9543,Whatlez,QLD
1057,Toki,QLD
4961,YUNG$,VIC
1063,Timic83,VIC
1340,Gosu,QLD
19235,Morgz,WA
2539,Tane,QLD
2151,Matty,VIC
8136,Puff Daddy,NSW
5252,Swag,VIC
1327,Mac,QLD
1360,KTMFinx,VIC
1609,Pinolicious,NZ
2601,Tid,NSW
7980,Marv,QLD
1396,William,QLD
10699,GRN,VIC
15478,chiuy,NSW
15224,Redux,VIC
1823,narpas,NZ
13972,ice in rural areas,VIC
2125,AvocadoBride,WA
3074,oopbop,QLD
2414,Kelp,NSW
13955,Legacy,WA
4926,Spike,NSW
5908,The Mailman,VIC
1364,Callibar,VIC
1820,Pants3000,NZ
1142,Unreon,NSW
1607,Lima,NZ
4094,Mackln,NSW
1298,DomHynes,VIC
4092,MOOP,NSW
4826,N/A,NSW
2005,Rollic,NSW
2325,Doctor A.Ness,NSW
2442,RedFalco,WA
3423,Deku,ACT
1212,Blue,QLD
5191,ls300,QLD
15933,camzo2k,NZ
15102,Abard,NSW
9558,6116,NSW
1041,BIGBOSS,VIC
5519,Illy,NSW
2400,Party,NSW
1614,Kelots,NZ
1064,Tibs,VIC
15604,TDUM,QLD
1822,Chem,NZ
1439,Mezer,VIC
1177,Kevin,ACT
1490,JPS,QLD
1870,Katoran,NZ
17498,Baphy,VIC
3153,Doob,VIC
2627,Whisker,QLD
15476,Chowder,NSW
5214,MasterSplinter,NZ
7997,Method,VIC
3142,JT,VIC
1679,Shenny,VIC
5395,justHarry,TAS
2089,Marty,NSW
2610,Alex Sucks,VIC
16937,Muso,NZ
17593,Haydz,VIC
2449,KizzaBam,NSW
4066,Blaxxon,NSW
8017,Tytanic,ACT
1751,Jeremy,SA
3334,AJAX,WA
2441,Gojira,WA
5178,Octocatt,QLD
1288,Bu$,VIC
15065,Zer0!Factorial,NZ
17495,Six,VIC
1305,Milun,VIC
1316,Izzago,VIC
1636,Jay,QLD
13913,Amanda Huggenkiss,VIC
2637,Masenko,QLD
18313,Oceanman,VIC
2428,Ktan,VIC
4000,Daryl,ACT
1076,Gords,NSW
1260,Beans,WA
15106,WillD,SA
4228,Cage,WA
2523,Roy,WA
1246,Ryan,QLD
5775,Caleb,SA
18347,Heistotron5000,QLD
3800,Josh,VIC
8293,Gong - Derek Hely,NSW
1266,Brad,WA
3630,Bringer,WA
15033,Merebry,NSW
8269,Gong - Johnson Ng,NSW
1461,Deeks,VIC
1073,Tak,VIC
2541,Hectic,NZ
2620,Limit,QLD
8323,Gong - Ryan Stevenson,NSW
2227,LPG,VIC
13857,Mr. Success,VIC
3166,SPAWN,VIC
1100,Hotdog,QLD
9445,Aidan,QLD
9451,dun.sum,VIC
1626,SNC,NZ
3171,9threvolver,VIC
16033,Dexter,VIC
17481,Phrase,QLD
16453,Daddy,NSW
8465,Big Brother,VIC
6968,Sugarkick,WA
1625,BenG,NZ
3787,SGROIE,VIC
1745,conso,QLD
4140,Shakky,SA
2757,S.S.S. Jester,QLD
2759,Switch,QLD
4719,Sarvaia,QLD
3601,Rappy,VIC
1686,MrMiacro,TAS
1338,Cetro,QLD
8152,Gong - James Russell,NSW
1881,dragonlei1,NZ
3164,Windex,VIC
2115,CarlosMX,NZ
1958,Pr0tH,QLD
2440,Pen Ninja,WA
3314,Hawkeye,NSW
2703,Debaser,VIC
8328,Gong - Samuel,NSW
13948,VinterGatan,NZ
15662,Lawd,SA
5303,Kr0nk,NZ
2403,Delta,VIC
2247,Fuccboi,NSW
8199,Gong - Brandon Scolnik,NSW
5501,Zantar,NSW
3276,Storm,NZ
5097,FTBox,NZ
5230,DKang,NZ
15150,smallboy,QLD
1365,Sumeet,VIC
5341,TH,WA
4099,Kev,NSW
1444,Naked Jake,VIC
5067,KmS,VIC
15328,Monshi,QLD
10658,bn3,ACT
8258,Gong - Matthew Wale,NSW
2687,Jetfantastic,QLD
4474,AsTheWorldTurns,NZ
8174,Anthony Serrano,NSW
1873,Red,NZ
1235,Alien,ACT
4048,Trace,VIC
18257,JiggyJ,NZ
1095,Tin Man,ACT
4920,Little Bird,QLD
9581,Doziam,QLD
4790,Bread,QLD
1526,C3H8,QLD
1608,Flatfeet,NZ
8415,Sc0ttyP,QLD
19812,TV,VIC
1111,Kira,NSW
1871,Gerard,NZ
4185,Lunchbillion,NZ
3540,BlueVapour,NZ
5420,BshortZ,QLD
1816,ynthrepic,NZ
5486,Aggro,VIC
4064,teh_dude,NSW
2465,Bussy,VIC
10662,Benj0vi,ACT
16035,Hannibal?,VIC
1372,Slop,VIC
1424,Steady,VIC
1656,Beef,NZ
4374,Ushi,VIC
1729,Euro,SA
4128,Towel,SA
4595,Tai,VIC
1174,Bogo,ACT
1145,ComboTurtle,NSW
8131,Kaizen,NSW
1105,Mr Leak,NSW
1505,Haydino,VIC
9465,WestSideBandit,NSW
1393,Phibzy,NSW
1813,0cha,NZ
5381,Jesse,TAS
6947,E X,VIC
3147,Michael Caine,VIC
1575,Barramundi,WA
2358,Frink,VIC
2083,Flex,NSW
3374,DanB,VIC
15430,Fez,NSW
18785,Wooper,NZ
1443,Cap,VIC
18188,Cohen,TAS
1511,Blue,VIC
1045,Kurogane Hammer,QLD
5342,Holt,WA
3105,Hase,QLD
1308,Meredy,VIC
1194,TDEE,QLD
1052,Karnu,VIC
2790,Conza,QLD
1882,Aeneas,NZ
9437,chimps,NZ
9454,Trish,QLD
2468,Half Baked,NSW
3339,Cryo,WA
3403,Tzarface,VIC
1262,Nasch,WA
1152,Dif,QLD
1118,Afropony,VIC
1897,Weeb,QLD
1942,BJSchoey,NSW
8483,CtMxum,NZ
18318,TR3S,VIC
17872,Suds,NZ
4615,Monkee,VIC
6948,Rhys,VIC
8333,Gong - George Tee,NSW
2077,Prods,NSW
3380,NiGHTS,WA
2922,Dr. D,NSW
15692,Jonny,NSW
17060,Simzje,VIC
8022,Slip,ACT
8081,Blurt,NZ
8015,BenJovi,ACT
1272,Jon,WA
4800,Ramo,NZ
4078,Hugie,NSW
4307,Dave,WA
10667,Davin,ACT
1540,FEG,NSW
2190,Bass,NSW
4081,Stereo,NSW
1126,Shakyy,SA
4540,Sam,VIC
2789,Iconoclast,QLD
4137,NovaAk,SA
3082,Marksmenn,QLD
1169,Neon,QLD
1579,Lando,QLD
3409,mask1n,VIC
5542,Dunsum,VIC
3552,Soup,WA
4906,Tatts,QLD
4517,Kyle,VIC
1284,Dreadtech,VIC
2369,DoorBashr,NSW
4907,CHS,QLD
3341,JOSS,WA
4822,Yoyo,QLD
1610,Luthadel,NZ
4465,Lamb,VIC
2399,Andy,NSW
15431,Dutch,QLD
3746,mspe044,NZ
2618,Tofu,QLD
2664,Drizzle,QLD
3136,Flare,VIC
1543,Towely,QLD
5444,Hadster,QLD
1116,Devil,VIC
16914,Chibi,VIC
16122,Roach,QLD
18132,Lapis,NSW
1334,NQuad1Zero,QLD
1259,Caged,WA
2944,Melandor,NSW
8327,Gong - DICKMAN KICKMAN,NSW
9562,Hum_Hug,VIC
2989,KD,QLD
4597,Roy,VIC
5363,Luke,QLD
8132,bams,NSW
3306,Krystal,WA
2248,Rob,NSW
10677,Daal,ACT
1452,Peter,VIC
2749,Hawki,NSW
5060,Lenneth,QLD
16908,trippymane,NZ
16306,kosc,WA
1039,Archaze,QLD
1301,Sadistic,VIC
8076,Party King,QLD
1817,GregJS,NZ
15075,Zerg,QLD
6954,Milkypog,NSW
3401,Meatpie,VIC
2238,Mulletcap,TAS
8461,TKano,VIC
7992,DrewZG,VIC
2376,CHET_AWESOMELAND,NSW
1348,JPW,NSW
1075,Jezmo,QLD
13895,ANGLAKEY,QLD
3313,Will,NSW
3386,Boros,VIC
5402,Heman,TAS
1094,Shaya,NSW
1394,Maribro,WA
1232,Wizzow,QLD
1299,MGK,VIC
1143,Jaz,NSW
3499,Vanor,WA
3424,Jey,ACT
1877,Nick4Now,NZ
2285,NiV,WA
19446,OliveU,NZ
1255,Noied,WA
1175,Pauline,ACT
5702,DeeezNuts,QLD
3719,Xe,SA
4136,GiveMeBacn,SA
1969,Insie,VIC
1185,Baker,NSW
1615,FERALxPANDA,NZ
1773,Rhyno012,VIC
2094,Kait,NSW
19829,Swanker,NZ
3723,Slayer,SA
1090,Nicks,VIC
16032,Easymac,VIC
18521,DaWests,NZ
5401,Happyfeet,TAS
1454,Tommy,VIC
15663,MASHPOTATO,SA
1936,Fruit,NSW
15721,Big Green,WA
16289,7eon,NSW
1190,Sieg,QLD
4019,Kizmmit,SA
4835,lukken,NSW
3724,Hellwalker,SA
1239,Jon,ACT
10659,Yung Timmy,ACT
8049,Keanu,VIC
3921,Rhyno12,VIC
11755,KFC,NZ
1249,Slurpy,QLD
1780,NModz,VIC
3474,Addstar122,VIC
4670,Baegle,NZ
1931,Swamp,NZ
3017,Tatt,QLD
15816,Tom,WA
11734,Justin,VIC
1687,Harry,TAS
2003,4par,NSW
3149,Juicy,VIC
3753,dangus,WA
1793,Soap,QLD
16867,Tane,SA
18576,rowa,NZ
10668,John,ACT
8297,Gong - VadaVada,NSW
3968,JUCE,VIC
13929,Ever,WA
1053,Vyse,QLD
1489,Turtle,QLD
4010,GF Anthony S,NSW
4101,Bun,NSW
4334,BloominMAn,VIC
8047,End Of Story,NSW
5052,Shikasama,WA
8009,Mast,VIC
4473,TheKukie,NZ
2253,DeezyBreazy,QLD
16468,Mitchell,SA
1664,Kaito,VIC
3609,Shyfrit,VIC
1314,Fudge,VIC
5912,Chow,NSW
3543,Raaizul,NZ
10672,Tyler,ACT
1885,Trout,NZ
2084,Byron,NSW
3148,bbq,VIC
10683,MAXKing,TAS
4123,LexPellen,SA
6995,GaGas,NSW
3392,Cambel,VIC
5925,Birdy,VIC
19731,CugeltheClever,NSW
3304,Lynk,WA
15311,DeadOrAlive,SA
5924,Seal,QLD
8055,Oracle,QLD
4262,Ilikebigboobies,VIC
8051,Melonjuice,VIC
1532,Vincent,NSW
1660,Luminescent,QLD
11759,lach,NZ
16660,RThree,QLD
16108,Ishi,SA
18533,Wheelz,QLD
1539,Ganz,NSW
1627,Arrowskee,NZ
2010,Nick,NSW
1815,Axorr,NZ
5563,Zakurai,QLD
17286,Metal Force,NSW
1253,Salty Pete,WA
1718,TurtleCat,NSW
2223,House,ACT
2536,Rin,VIC
1633,Wooy,QLD
1303,Hyes,VIC
5343,Joerg Hay,WA
17109,Jazz,VIC
16089,Kanako,NSW
15438,Johny2Fingerz,QLD
2130,Sampoo,NSW
6952,Dapto Dog,NSW
3132,Scorp,VIC
15469,Jim Cool,NSW
16005,Butt,ACT
15652,Bues,SA
3016,Nunonabike,QLD
8000,P9,VIC
1688,Ben,TAS
8018,Ned,ACT
1311,Downer,VIC
1446,Boris,VIC
15969,Veraxana,NSW
18317,GettinHigh420,VIC
15693,Rog,NSW
2958,Corey,NSW
3150,Dankrupt,VIC
4408,Shaun,NSW
5903,SweetDollaGee,VIC
1157,Forte,VIC
17972,Wattson,QLD
4102,the,SA
4999,HoAN,WA
8455,Lem,NSW
1951,Linoone,QLD
1674,Yoats,VIC
2079,Christian - Gametraders,NSW
2736,Tito,QLD
5512,2Girls1Gus,NSW
1055,Sirias,QLD
5375,Dabb,NZ
5376,Cody',NZ
1371,Touko,VIC
1515,Ef,VIC
5483,La Flame,VIC
3905,SolidGoldFiddle,VIC
2933,Jesus Christ,NSW
1538,Raindanceman,NSW
2106,Woobs,NSW
19447,danroe,NZ
5794,cooldude42069,VIC
1586,Extra,VIC
2078,Rumple,NSW
9486,Sirus,QLD
4427,Dan,SA
3281,CJDJ,NZ
2551,Leethal,QLD
5467,Peter,TAS
3639,John,VIC
5527,Bevo,NSW
5279,breadstick,VIC
4616,Faz,VIC
3135,threnody,VIC
10691,Sass,NSW
2069,Paul,NSW
2092,Fez [old],NSW
4708,Tim,NSW
3307,Bees,WA
3529,Reef Salter Stephens,SA
3616,Freddie,VIC
4006,Ray,NSW
1206,eltoNNNNNN,WA
1307,Flog,VIC
16423,huske,WA
13867,Quib,QLD
13990,0zai,NZ
1514,Zacurai,VIC
3893,DoughBoi,NZ
3549,Mike,NZ
4052,Cono,VIC
1775,Jdizzle,VIC
3186,Debaster,VIC
1841,JEANS,VIC
1587,SKG,VIC
17079,Phosphate,NSW
18532,rdwrd.,QLD
3070,Sonder,QLD
1278,Jono,WA
1234,1der,ACT
5507,EmanSaur,NSW
8023,Jonny,ACT
4312,Glissy,NSW
1122,Jamage,SA
1359,Flukey,VIC
4103,S,SA
4020,Pyjama Sam,SA
5609,StabbyJ,SA
5075,Jace,SA
2753,Kier,VIC
4130,Nil,SA
11711,Magician,NSW
1183,Errol,ACT
1502,Salad,VIC
5838,NXZ,QLD
1366,Slamdvnk,VIC
